conceptId,conceptEdge,contentId,requiresId,trainsId,topic,parentId,moduleGoalsId,level,elementId1,elementId2,elementId3,elementId4,elementId5,contentNodeTitle,description
2,,,,2,Tragkonstruktion 3,1,,,,,,,,,
4,,,,"2,4",Seil,2,,3,,,,,,,
,,1,,"2,4",Analyse,4,,1,,,,,,,
,,2,,"2,4",Entwurf,4,,2,,,,,,,
,,3,,"2,4",Bewertung,4,,3,,,,,,,
5,,,,"2,5",Bogen,2,,3,,,,,,,
,,4,,"2,5",Analyse,5,,1,,,,,,,
,,5,,"2,5",Entwurf,5,,2,,,,,,,
,,6,,"2,5",Bewertung,5,,3,,,,,,,
6,,,,"2,6",Rahmen,2,,3,,,,,,,
,,7,,"2,6",Analyse,6,,1,,,,,,,
,,8,,"2,6",Entwurf,6,,2,,,,,,,
,,9,,"2,6",Bewertung,6,,3,,,,,,,
7,,,,"2,7",Flächentragwerk,2,,3,,,,,,,
,,10,,"2,7",Analyse,7,,1,,,,,,,
,,11,,"2,7",Entwurf,7,,2,,,,,,,
,,12,,"2,7",Bewertung,7,,3,,,,,,,
